Fault,Vibration,Acoustic,Magnetic Flux,Temperature,Pressure
Shaft Misalignment,0.0,0.5,0.8,30,1.0
Shaft Misalignment,0.7517220926874315,0.5062790519529313,0.8018848439715409,30,1.0
Shaft Misalignment,0.8731022071810193,0.5125333233564304,0.8037690182669935,30,1.0
Shaft Misalignment,0.7017220926874317,0.5187381314585725,0.8056518534482024,30,1.0
Shaft Misalignment,0.7747209406074116,0.5248689887164855,0.8075326805527934,30,1.0
Shaft Misalignment,0.8999999999999999,0.5309016994374948,0.8094108313318514,30,1.0
Shaft Misalignment,0.7747209406074117,0.5368124552684678,0.8112856384873482,30,1.0
Shaft Misalignment,0.7017220926874317,0.5425779291565073,0.8131564359092283,30,1.0
Shaft Misalignment,0.8731022071810192,0.5481753674101715,0.8150225589120758,30,1.0
Shaft Misalignment,0.7517220926874313,0.5535826794978996,0.8168833444712734,30,1.0
Shaft Misalignment,3.551475717527324e-16,0.5587785252292473,0.8187381314585725,30,1.0
Shaft Misalignment,-0.7517220926874315,0.563742398974869,0.8205862608769882,30,1.0
Shaft Misalignment,-0.8731022071810196,0.5684547105928689,0.8224270760949381,30,1.0
Shaft Misalignment,-0.7017220926874324,0.5728968627421411,0.8242599230795408,30,1.0
Shaft Misalignment,-0.7747209406074115,0.577051324277579,0.8260841506289898,30,1.0
Shaft Misalignment,-0.8999999999999999,0.5809016994374947,0.827899110603923,30,1.0
Shaft Misalignment,-0.7747209406074118,0.5844327925502015,0.8297041581577035,30,1.0
Shaft Misalignment,-0.7017220926874315,0.5876306680043863,0.8314986519655305,30,1.0
Shaft Misalignment,-0.8731022071810184,0.590482705246602,0.8332819544522987,30,1.0
Shaft Misalignment,-0.7517220926874324,0.5929776485888252,0.835053432019126,30,1.0
Shaft Misalignment,-7.102951435054648e-16,0.5951056516295153,0.8368124552684678,30,1.0
Shaft Misalignment,0.7517220926874324,0.5968583161128631,0.8385583992277397,30,1.0
Shaft Misalignment,0.87310220718102,0.5982287250728688,0.8402906435713663,30,1.0
Shaft Misalignment,0.7017220926874321,0.5992114701314478,0.8420085728411807,30,1.0
Shaft Misalignment,0.7747209406074117,0.5998026728428272,0.8437115766650933,30,1.0
Shaft Misalignment,0.8999999999999999,0.6,0.8453990499739548,30,1.0
Shaft Misalignment,0.7747209406074105,0.5998026728428272,0.8470703932165333,30,1.0
Shaft Misalignment,0.701722092687431,0.5992114701314478,0.8487250125725333,30,1.0
Shaft Misalignment,0.8731022071810189,0.5982287250728688,0.8503623201635762,30,1.0
Shaft Misalignment,0.751722092687432,0.5968583161128631,0.851981734262071,30,1.0
Shaft Misalignment,1.7759854510182975e-15,0.5951056516295153,0.8535826794978997,30,1.0
Shaft Misalignment,-0.7517220926874308,0.5929776485888252,0.855164587062843,30,1.0
Shaft Misalignment,-0.8731022071810195,0.590482705246602,0.8567268949126757,30,1.0
Shaft Misalignment,-0.7017220926874324,0.5876306680043863,0.8582690479668577,30,1.0
Shaft Misalignment,-0.7747209406074118,0.5844327925502015,0.8597904983057519,30,1.0
Shaft Misalignment,-0.8999999999999999,0.5809016994374947,0.8612907053652977,30,1.0
Shaft Misalignment,-0.7747209406074114,0.577051324277579,0.8627691361290701,30,1.0
Shaft Misalignment,-0.701722092687431,0.5728968627421411,0.8642252653176585,30,1.0
Shaft Misalignment,-0.8731022071810178,0.5684547105928689,0.8656585755752957,30,1.0
Shaft Misalignment,-0.751722092687432,0.563742398974869,0.8670685576536721,30,1.0
Shaft Misalignment,-1.4205902870109295e-15,0.5587785252292473,0.8684547105928689,30,1.0
Shaft Misalignment,0.7517220926874322,0.5535826794978996,0.8698165418993473,30,1.0
Shaft Misalignment,0.8731022071810197,0.5481753674101715,0.8711535677209286,30,1.0
Shaft Misalignment,0.7017220926874324,0.5425779291565073,0.8724653130187047,30,1.0
Shaft Misalignment,0.7747209406074099,0.5368124552684678,0.8737513117358174,30,1.0
Shaft Misalignment,0.8999999999999999,0.5309016994374948,0.875011106963046,30,1.0
