Fault,Vibration,Acoustic,Magnetic Flux,Temperature,Pressure
Rotor Unbalance,0.0,0.5,0.8,30,1.0
Rotor Unbalance,0.4028776733990859,0.5062790519529313,0.8018848439715409,30,1.0
Rotor Unbalance,0.7731954489174415,0.5125333233564304,0.8037690182669935,30,1.0
Rotor Unbalance,1.0814112942186755,0.5187381314585725,0.8056518534482024,30,1.0
Rotor Unbalance,1.3037276676706373,0.5248689887164855,0.8075326805527934,30,1.0
Rotor Unbalance,1.4242640687119286,0.5309016994374948,0.8094108313318514,30,1.0
Rotor Unbalance,1.4364667129201218,0.5368124552684678,0.8112856384873482,30,1.0
Rotor Unbalance,1.343620908887968,0.5425779291565073,0.8131564359092283,30,1.0
Rotor Unbalance,1.1584191620695652,0.5481753674101715,0.8150225589120758,30,1.0
Rotor Unbalance,0.9016299987320298,0.5535826794978996,0.8168833444712734,30,1.0
Rotor Unbalance,0.6000000000000001,0.5587785252292473,0.8187381314585725,30,1.0
Rotor Unbalance,0.28359600998213536,0.563742398974869,0.8205862608769882,30,1.0
Rotor Unbalance,-0.017151342515381307,0.5684547105928689,0.8224270760949381,30,1.0
Rotor Unbalance,-0.2744130798619273,0.5728968627421411,0.8242599230795408,30,1.0
Rotor Unbalance,-0.4656463196701851,0.577051324277579,0.8260841506289898,30,1.0
Rotor Unbalance,-0.5757359312880714,0.5809016994374947,0.827899110603923,30,1.0
Rotor Unbalance,-0.5983853649196698,0.5844327925502015,0.8297041581577035,30,1.0
Rotor Unbalance,-0.5366226945312191,0.5876306680043863,0.8314986519655305,30,1.0
Rotor Unbalance,-0.4023750556675043,0.590482705246602,0.8332819544522987,30,1.0
Rotor Unbalance,-0.2151563153508091,0.5929776485888252,0.835053432019126,30,1.0
Rotor Unbalance,-1.7145055188062946e-16,0.5951056516295153,0.8368124552684678,30,1.0
Rotor Unbalance,0.2151563153508093,0.5968583161128631,0.8385583992277397,30,1.0
Rotor Unbalance,0.40237505566750453,0.5982287250728688,0.8402906435713663,30,1.0
Rotor Unbalance,0.5366226945312192,0.5992114701314478,0.8420085728411807,30,1.0
Rotor Unbalance,0.5983853649196698,0.5998026728428272,0.8437115766650933,30,1.0
Rotor Unbalance,0.5757359312880714,0.6,0.8453990499739548,30,1.0
Rotor Unbalance,0.4656463196701844,0.5998026728428272,0.8470703932165333,30,1.0
Rotor Unbalance,0.27441307986192687,0.5992114701314478,0.8487250125725333,30,1.0
Rotor Unbalance,0.017151342515381307,0.5982287250728688,0.8503623201635762,30,1.0
Rotor Unbalance,-0.28359600998213474,0.5968583161128631,0.851981734262071,30,1.0
Rotor Unbalance,-0.5999999999999996,0.5951056516295153,0.8535826794978997,30,1.0
Rotor Unbalance,-0.9016299987320298,0.5929776485888252,0.855164587062843,30,1.0
Rotor Unbalance,-1.158419162069565,0.590482705246602,0.8567268949126757,30,1.0
Rotor Unbalance,-1.3436209088879687,0.5876306680043863,0.8582690479668577,30,1.0
Rotor Unbalance,-1.4364667129201223,0.5844327925502015,0.8597904983057519,30,1.0
